"origin","destiny","sex","age","accepted_total","rejected_total","total","predict2015"
"Sri Lanka","Austria","Males","35 to 64",0,25,25,0.3856
"Stateless","Austria","Males","35 to 64",35,105,140,0.7569
"Sudan","Austria","Males","35 to 64",15,20,35,0.5689
"Syria","Austria","Males","35 to 64",260,85,345,0.9043
"Taiwan","Austria","Males","35 to 64",0,15,15,0
"Tajikistan","Austria","Males","35 to 64",5,25,30,0.1446
"Tunisia","Austria","Males","35 to 64",0,90,90,0.0394
"Turkey","Austria","Males","35 to 64",25,305,330,0.2043
"Uganda","Austria","Males","35 to 64",0,5,5,0.5025
"Ukraine","Austria","Males","35 to 64",10,115,125,0.0984
"Unknown","Austria","Males","35 to 64",0,35,35,0.3811
"Uzbekistan","Austria","Males","35 to 64",0,20,20,0.2046
"Vietnam","Austria","Males","35 to 64",0,5,5,0.0823
"Afghanistan","Belgium","Males","35 to 64",450,500,950,0.5556
"Albania","Belgium","Males","35 to 64",55,510,565,0.0985
"Algeria","Belgium","Males","35 to 64",20,280,300,0.0565
"Angola","Belgium","Males","35 to 64",5,120,125,0.1807
"Armenia","Belgium","Males","35 to 64",10,710,720,0.087
"Azerbaijan","Belgium","Males","35 to 64",10,85,95,0.2013
"Bangladesh","Belgium","Males","35 to 64",0,220,220,0.1041
"Belarus","Belgium","Males","35 to 64",10,70,80,0.1881
"Benin","Belgium","Males","35 to 64",0,60,60,0.1228
"Bosnia and Herzegovina","Belgium","Males","35 to 64",5,160,165,0.0354
"Bulgaria","Belgium","Males","35 to 64",0,90,90,0
"Burkina Faso","Belgium","Males","35 to 64",10,65,75,0.1781
"Burundi","Belgium","Males","35 to 64",45,105,150,0.3868
"Côte d'Ivoire","Belgium","Males","35 to 64",25,185,210,0.2715
"Cameroon","Belgium","Males","35 to 64",55,260,315,0.2575
"Central African Republic","Belgium","Males","35 to 64",5,5,10,0.698
"Chad","Belgium","Males","35 to 64",0,15,15,0.3043
"China (including Hong Kong)","Belgium","Males","35 to 64",310,185,495,0.2723
"Colombia","Belgium","Males","35 to 64",5,5,10,0.1659
"Congo","Belgium","Males","35 to 64",0,25,25,0.2501
"Croatia","Belgium","Males","35 to 64",0,5,5,0.0291
"Cuba","Belgium","Males","35 to 64",5,5,10,0.6593
"Czech Republic","Belgium","Males","35 to 64",0,30,30,0
"Dem. Rep. Congo","Belgium","Males","35 to 64",140,835,975,0.2419
"Djibouti","Belgium","Males","35 to 64",20,20,40,0.4057
"Egypt","Belgium","Males","35 to 64",5,105,110,0.2573
"El Salvador","Belgium","Males","35 to 64",0,5,5,0.1448
"Eritrea","Belgium","Males","35 to 64",40,0,40,0.8217
"Ethiopia","Belgium","Males","35 to 64",0,45,45,0.4062
"Gambia, The","Belgium","Males","35 to 64",0,45,45,0.1784
"Georgia","Belgium","Males","35 to 64",0,410,410,0.039
"Ghana","Belgium","Males","35 to 64",0,45,45,0.1796
"Guinea","Belgium","Males","35 to 64",105,525,630,0.3382
"Guinea-Bissau","Belgium","Males","35 to 64",0,5,5,0.204
"Hungary","Belgium","Males","35 to 64",0,40,40,0
"India","Belgium","Males","35 to 64",0,140,140,0.0267
"Iran","Belgium","Males","35 to 64",195,605,800,0.5804
"Iraq","Belgium","Males","35 to 64",1000,635,1635,0.6652
"Israel","Belgium","Males","35 to 64",0,10,10,0.0286
"Jordan","Belgium","Males","35 to 64",0,15,15,0.1946
"Kazakhstan","Belgium","Males","35 to 64",0,60,60,0.1076
"Kenya","Belgium","Males","35 to 64",0,15,15,0.1402
"Kosovo","Belgium","Males","35 to 64",70,820,890,0.0647
"Kyrgyzstan","Belgium","Males","35 to 64",10,50,60,0.1204
"Lebanon","Belgium","Males","35 to 64",5,105,110,0.1031
"Liberia","Belgium","Males","35 to 64",0,30,30,0.1712
"Libya","Belgium","Males","35 to 64",5,15,20,0.327
"Macedonia","Belgium","Males","35 to 64",5,390,395,0.0057
"Mali","Belgium","Males","35 to 64",10,30,40,0.3494
"Mauritania","Belgium","Males","35 to 64",70,365,435,0.2179
"Moldova","Belgium","Males","35 to 64",0,10,10,0.0349
"Mongolia","Belgium","Males","35 to 64",0,35,35,0.039
"Montenegro","Belgium","Males","35 to 64",0,15,15,0.0134
"Morocco","Belgium","Males","35 to 64",0,105,105,0.0775
"Myanmar/Burma","Belgium","Males","35 to 64",5,10,15,0.6633
"Nepal","Belgium","Males","35 to 64",0,210,210,0.1434
"Niger","Belgium","Males","35 to 64",15,105,120,0.244
"Nigeria","Belgium","Males","35 to 64",0,120,120,0.1235
"North Korea","Belgium","Males","35 to 64",20,30,50,0.4453
"Pakistan","Belgium","Males","35 to 64",45,590,635,0.191
"Palestine","Belgium","Males","35 to 64",5,0,5,0.7031
"Romania","Belgium","Males","35 to 64",0,90,90,0.0141
"Russia","Belgium","Males","35 to 64",235,1230,1465,0.2092
"Rwanda","Belgium","Males","35 to 64",110,230,340,0.4611
"São Tomé and Príncipe","Belgium","Males","35 to 64",0,10,10,0
"Senegal","Belgium","Males","35 to 64",70,355,425,0.1977
"Serbia","Belgium","Males","35 to 64",90,620,710,0.0292
"Sierra Leone","Belgium","Males","35 to 64",0,40,40,0.3051
"Slovakia","Belgium","Males","35 to 64",0,85,85,0
"Somalia","Belgium","Males","35 to 64",85,95,180,0.729
"Sri Lanka","Belgium","Males","35 to 64",70,105,175,0.3689
"Sudan","Belgium","Males","35 to 64",45,65,110,0.5514
"Syria","Belgium","Males","35 to 64",785,195,980,0.898
"Tajikistan","Belgium","Males","35 to 64",0,15,15,0.1361
"Tanzania","Belgium","Males","35 to 64",0,85,85,0.1131
"Togo","Belgium","Males","35 to 64",45,305,350,0.2161
"Tunisia","Belgium","Males","35 to 64",5,50,55,0.0368
"Turkey","Belgium","Males","35 to 64",85,290,375,0.1929
"Uganda","Belgium","Males","35 to 64",0,5,5,0.4847
"Ukraine","Belgium","Males","35 to 64",0,95,95,0.0923
"Unknown","Belgium","Males","35 to 64",150,150,300,0.3644
"Uzbekistan","Belgium","Males","35 to 64",5,25,30,0.1933
"Vietnam","Belgium","Males","35 to 64",0,15,15,0.0771
"Yemen","Belgium","Males","35 to 64",5,20,25,0.4582
"Afghanistan","Bulgaria","Males","35 to 64",25,30,55,0.6494
"Algeria","Bulgaria","Males","35 to 64",0,10,10,0.0816
"Armenia","Bulgaria","Males","35 to 64",0,45,45,0.1237
"Côte d'Ivoire","Bulgaria","Males","35 to 64",0,10,10,0.3557
"Congo","Bulgaria","Males","35 to 64",0,5,5,0.3307
"Egypt","Bulgaria","Males","35 to 64",0,10,10,0.3392
"Georgia","Bulgaria","Males","35 to 64",0,5,5,0.0568
"Iran","Bulgaria","Males","35 to 64",20,50,70,0.6721
"Iraq","Bulgaria","Males","35 to 64",150,175,325,0.7465
"Lebanon","Bulgaria","Males","35 to 64",0,10,10,0.1455
"Nigeria","Bulgaria","Males","35 to 64",0,15,15,0.1728
"Pakistan","Bulgaria","Males","35 to 64",0,5,5,0.2592
"Russia","Bulgaria","Males","35 to 64",0,10,10,0.2816
"Stateless","Bulgaria","Males","35 to 64",110,40,150,0.8112
"Sudan","Bulgaria","Males","35 to 64",0,5,5,0.6456
"Syria","Bulgaria","Males","35 to 64",890,25,915,0.9288
"Tanzania","Bulgaria","Males","35 to 64",0,20,20,0.1589
"Turkey","Bulgaria","Males","35 to 64",0,5,5,0.2616
"Vietnam","Bulgaria","Males","35 to 64",0,10,10,0.1101
"Afghanistan","Croatia","Males","35 to 64",0,5,5,0.1731
"Algeria","Croatia","Males","35 to 64",0,25,25,0.0099
"Bosnia and Herzegovina","Croatia","Males","35 to 64",0,5,5,0.0061
"Egypt","Croatia","Males","35 to 64",0,5,5,0.0548
"Kosovo","Croatia","Males","35 to 64",0,5,5,0.0114
"Russia","Croatia","Males","35 to 64",0,5,5,0.0424
"Tunisia","Croatia","Males","35 to 64",0,5,5,0.0064
"Unknown","Croatia","Males","35 to 64",0,5,5,0.0876
"Afghanistan","Cyprus","Males","35 to 64",0,5,5,0.3466
"Armenia","Cyprus","Males","35 to 64",0,10,10,0.0389
"Bangladesh","Cyprus","Males","35 to 64",0,10,10,0.047
"Cameroon","Cyprus","Males","35 to 64",0,20,20,0.1283
"China (including Hong Kong)","Cyprus","Males","35 to 64",0,15,15,0.137
"Egypt","Cyprus","Males","35 to 64",0,105,105,0.1282
"Georgia","Cyprus","Males","35 to 64",0,45,45,0.0169
"Ghana","Cyprus","Males","35 to 64",0,5,5,0.085
"India","Cyprus","Males","35 to 64",0,70,70,0.0115
"Iran","Cyprus","Males","35 to 64",5,85,90,0.3699
"Iraq","Cyprus","Males","35 to 64",85,60,145,0.4574
"Israel","Cyprus","Males","35 to 64",0,5,5,0.0124
"Jordan","Cyprus","Males","35 to 64",0,15,15,0.093
"Lebanon","Cyprus","Males","35 to 64",0,25,25,0.0465
"Mongolia","Cyprus","Males","35 to 64",0,10,10,0.0169
"Nepal","Cyprus","Males","35 to 64",0,10,10,0.0663
"Nigeria","Cyprus","Males","35 to 64",0,20,20,0.0564
"Pakistan","Cyprus","Males","35 to 64",0,25,25,0.0911
"Palestine","Cyprus","Males","35 to 64",135,45,180,0.5011
"Philippines","Cyprus","Males","35 to 64",0,10,10,0
"Russia","Cyprus","Males","35 to 64",0,10,10,0.1009
"Sri Lanka","Cyprus","Males","35 to 64",0,85,85,0.1987
"Syria","Cyprus","Males","35 to 64",120,85,205,0.7888
"Tunisia","Cyprus","Males","35 to 64",0,5,5,0.0159
"Turkey","Cyprus","Males","35 to 64",10,30,40,0.0921
"Uzbekistan","Cyprus","Males","35 to 64",0,5,5,0.0923
"Vietnam","Cyprus","Males","35 to 64",0,10,10,0.0342
"Yemen","Cyprus","Males","35 to 64",5,5,10,0.2641
"Afghanistan","Czech Republic","Males","35 to 64",0,5,5,0.7179
"Algeria","Czech Republic","Males","35 to 64",0,20,20,0.1087
"Armenia","Czech Republic","Males","35 to 64",5,20,25,0.1625
"Belarus","Czech Republic","Males","35 to 64",50,35,85,0.3205
"China (including Hong Kong)","Czech Republic","Males","35 to 64",0,10,10,0.4324
"Cuba","Czech Republic","Males","35 to 64",20,10,30,0.7975
"Dem. Rep. Congo","Czech Republic","Males","35 to 64",0,5,5,0.3939
"Georgia","Czech Republic","Males","35 to 64",0,45,45,0.0764
"India","Czech Republic","Males","35 to 64",0,5,5,0.0528
"Iran","Czech Republic","Males","35 to 64",0,5,5,0.738
"Iraq","Czech Republic","Males","35 to 64",10,0,10,0.8018
"Kazakhstan","Czech Republic","Males","35 to 64",5,15,20,0.1971
"Kosovo","Czech Republic","Males","35 to 64",0,20,20,0.1234
"Kyrgyzstan","Czech Republic","Males","35 to 64",0,15,15,0.218
"Macedonia","Czech Republic","Males","35 to 64",0,5,5,0.0116
"Moldova","Czech Republic","Males","35 to 64",0,15,15,0.0686
"Mongolia","Czech Republic","Males","35 to 64",0,70,70,0.0763
"Myanmar/Burma","Czech Republic","Males","35 to 64",20,0,20,0.8004
"Niger","Czech Republic","Males","35 to 64",0,5,5,0.3965
"Nigeria","Czech Republic","Males","35 to 64",0,40,40,0.223
"Pakistan","Czech Republic","Males","35 to 64",0,5,5,0.3247
"Poland","Czech Republic","Males","35 to 64",0,5,5,0
"Russia","Czech Republic","Males","35 to 64",5,50,55,0.3501
"Serbia","Czech Republic","Males","35 to 64",0,15,15,0.0577
"Slovakia","Czech Republic","Males","35 to 64",0,20,20,0
"Stateless","Czech Republic","Males","35 to 64",10,15,25,0.8551
"Syria","Czech Republic","Males","35 to 64",25,10,35,0.9472
"Tunisia","Czech Republic","Males","35 to 64",0,5,5,0.0722
"Turkey","Czech Republic","Males","35 to 64",0,25,25,0.3274
"Ukraine","Czech Republic","Males","35 to 64",40,325,365,0.1715
"Uzbekistan","Czech Republic","Males","35 to 64",5,5,10,0.3279
"Vietnam","Czech Republic","Males","35 to 64",5,100,105,0.1453
"Afghanistan","Denmark","Males","35 to 64",100,210,310,0.4732
"Albania","Denmark","Males","35 to 64",0,30,30,0.0728
"Algeria","Denmark","Males","35 to 64",0,20,20,0.0413
"Armenia","Denmark","Males","35 to 64",0,30,30,0.0641
"Azerbaijan","Denmark","Males","35 to 64",0,10,10,0.1533
"Bangladesh","Denmark","Males","35 to 64",0,55,55,0.0771
"Belarus","Denmark","Males","35 to 64",0,20,20,0.1427
"Bosnia and Herzegovina","Denmark","Males","35 to 64",5,45,50,0.0257
"Cameroon","Denmark","Males","35 to 64",0,5,5,0.1995
"Chad","Denmark","Males","35 to 64",0,5,5,0.2392
"China (including Hong Kong)","Denmark","Males","35 to 64",0,20,20,0.2119
"Croatia","Denmark","Males","35 to 64",0,5,5,0.021
"Dem. Rep. Congo","Denmark","Males","35 to 64",10,20,30,0.1866
"Egypt","Denmark","Males","35 to 64",0,10,10,0.1993
"Eritrea","Denmark","Males","35 to 64",20,5,25,0.768
"Gambia, The","Denmark","Males","35 to 64",0,5,5,0.135
"Georgia","Denmark","Males","35 to 64",0,25,25,0.0284
"Ghana","Denmark","Males","35 to 64",0,20,20,0.136
"India","Denmark","Males","35 to 64",0,20,20,0.0193
"Iran","Denmark","Males","35 to 64",160,200,360,0.4985
"Iraq","Denmark","Males","35 to 64",25,70,95,0.5882
"Kenya","Denmark","Males","35 to 64",0,5,5,0.1049
"Kosovo","Denmark","Males","35 to 64",10,70,80,0.0473
"Lebanon","Denmark","Males","35 to 64",0,10,10,0.0763
"Liberia","Denmark","Males","35 to 64",0,5,5,0.1292
"Libya","Denmark","Males","35 to 64",0,10,10,0.2588
"Macedonia","Denmark","Males","35 to 64",0,5,5,0.0041
"Morocco","Denmark","Males","35 to 64",0,10,10,0.0569
"Myanmar/Burma","Denmark","Males","35 to 64",0,10,10,0.586
"Nigeria","Denmark","Males","35 to 64",0,65,65,0.092
"Pakistan","Denmark","Males","35 to 64",5,25,30,0.1451
"Palestine","Denmark","Males","35 to 64",0,20,20,0.6298
"Poland","Denmark","Males","35 to 64",0,10,10,0
"Romania","Denmark","Males","35 to 64",0,15,15,0.0102
"Russia","Denmark","Males","35 to 64",70,160,230,0.1598
"Rwanda","Denmark","Males","35 to 64",0,5,5,0.3807
"Serbia","Denmark","Males","35 to 64",10,210,220,0.0212
"Somalia","Denmark","Males","35 to 64",70,120,190,0.6591
"Sri Lanka","Denmark","Males","35 to 64",0,15,15,0.2958
"Stateless","Denmark","Males","35 to 64",145,50,195,0.6757
"Sudan","Denmark","Males","35 to 64",0,10,10,0.469
"Syria","Denmark","Males","35 to 64",1495,125,1620,0.8635
"Tunisia","Denmark","Males","35 to 64",0,15,15,0.0267
"Turkey","Denmark","Males","35 to 64",0,20,20,0.1466
"Ukraine","Denmark","Males","35 to 64",0,10,10,0.0681
"Unknown","Denmark","Males","35 to 64",0,15,15,0.2918
"Vietnam","Denmark","Males","35 to 64",0,5,5,0.0566
"Georgia","Estonia","Males","35 to 64",0,10,10,0.0415
"Russia","Estonia","Males","35 to 64",0,10,10,0.2198
"Afghanistan","Finland","Males","35 to 64",85,90,175,0.5994
"Albania","Finland","Males","35 to 64",0,15,15,0.1156
"Algeria","Finland","Males","35 to 64",0,55,55,0.0669
"Angola","Finland","Males","35 to 64",0,5,5,0.2088
"Azerbaijan","Finland","Males","35 to 64",0,15,15,0.2317
"Bangladesh","Finland","Males","35 to 64",0,20,20,0.1221
"Belarus","Finland","Males","35 to 64",0,50,50,0.2171
"Bosnia and Herzegovina","Finland","Males","35 to 64",0,15,15,0.0421
"Bulgaria","Finland","Males","35 to 64",0,135,135,0
"Cameroon","Finland","Males","35 to 64",0,15,15,0.2934
"Dem. Rep. Congo","Finland","Males","35 to 64",10,20,30,0.2764
"Egypt","Finland","Males","35 to 64",0,5,5,0.2931
"Ethiopia","Finland","Males","35 to 64",0,10,10,0.4502
"Gambia, The","Finland","Males","35 to 64",5,30,35,0.2063
"Georgia","Finland","Males","35 to 64",0,35,35,0.0464
"Ghana","Finland","Males","35 to 64",0,30,30,0.2077
"India","Finland","Males","35 to 64",0,10,10,0.0317
"Iran","Finland","Males","35 to 64",75,85,160,0.6235
"Iraq","Finland","Males","35 to 64",440,235,675,0.704
"Jordan","Finland","Males","35 to 64",0,5,5,0.2243
"Kosovo","Finland","Males","35 to 64",10,65,75,0.0764
"Libya","Finland","Males","35 to 64",0,5,5,0.3677
"Macedonia","Finland","Males","35 to 64",0,10,10,0.0069
"Montenegro","Finland","Males","35 to 64",0,5,5,0.016
"Morocco","Finland","Males","35 to 64",0,30,30,0.0913
"Nigeria","Finland","Males","35 to 64",5,80,85,0.1444
"Pakistan","Finland","Males","35 to 64",0,15,15,0.2203
"Romania","Finland","Males","35 to 64",0,10,10,0.0168
"Russia","Finland","Males","35 to 64",60,205,265,0.2405
"Rwanda","Finland","Males","35 to 64",5,0,5,0.5059
"Senegal","Finland","Males","35 to 64",0,5,5,0.2277
"Serbia","Finland","Males","35 to 64",5,50,55,0.0347
"Somalia","Finland","Males","35 to 64",170,105,275,0.763
"Sri Lanka","Finland","Males","35 to 64",10,35,45,0.4117
"Stateless","Finland","Males","35 to 64",20,15,35,0.7763
"Syria","Finland","Males","35 to 64",75,20,95,0.9133
"Tunisia","Finland","Males","35 to 64",0,10,10,0.0437
"Turkey","Finland","Males","35 to 64",0,65,65,0.2225
"Ukraine","Finland","Males","35 to 64",0,40,40,0.1085
"United States","Finland","Males","35 to 64",0,5,5,0.0812
"Unknown","Finland","Males","35 to 64",5,30,35,0.407
"Afghanistan","France","Males","35 to 64",125,120,245,0.4944
"Albania","France","Males","35 to 64",100,1490,1590,0.0787
"Algeria","France","Males","35 to 64",75,1875,1950,0.0448
"Angola","France","Males","35 to 64",45,540,585,0.1471
"Armenia","France","Males","35 to 64",150,3095,3245,0.0694
"Azerbaijan","France","Males","35 to 64",140,690,830,0.1646
"Bangladesh","France","Males","35 to 64",70,4590,4660,0.0833
"Belarus","France","Males","35 to 64",15,100,115,0.1534
"Benin","France","Males","35 to 64",0,25,25,0.0987
"Bhutan","France","Males","35 to 64",0,5,5,0.5552
"Bolivia","France","Males","35 to 64",0,10,10,0.0673
"Bosnia and Herzegovina","France","Males","35 to 64",25,405,430,0.0279
"Brazil","France","Males","35 to 64",0,15,15,0.0399
"Burkina Faso","France","Males","35 to 64",0,25,25,0.1449
"Burundi","France","Males","35 to 64",20,30,50,0.3304
"Côte d'Ivoire","France","Males","35 to 64",125,1005,1130,0.2257
"Cambodia","France","Males","35 to 64",5,30,35,0.2028
"Cameroon","France","Males","35 to 64",35,230,265,0.2134
"Cape Verde","France","Males","35 to 64",0,15,15,0
"Central African Republic","France","Males","35 to 64",85,70,155,0.6438
"Chad","France","Males","35 to 64",20,120,140,0.2549
"China (including Hong Kong)","France","Males","35 to 64",355,2470,2825,0.2264
"Colombia","France","Males","35 to 64",30,155,185,0.1347
"Comoros","France","Males","35 to 64",85,865,950,0.1463
"Congo","France","Males","35 to 64",65,915,980,0.2069
"Croatia","France","Males","35 to 64",0,15,15,0.0229
"Cuba","France","Males","35 to 64",5,30,35,0.6021
"Dem. Rep. Congo","France","Males","35 to 64",355,3195,3550,0.1998
"Dominica","France","Males","35 to 64",0,15,15,0
"Dominican Republic","France","Males","35 to 64",0,105,105,0.0063
"Ecuador","France","Males","35 to 64",0,5,5,0.0777
"Egypt","France","Males","35 to 64",60,210,270,0.2132
"Eritrea","France","Males","35 to 64",90,175,265,0.7828
"Ethiopia","France","Males","35 to 64",15,15,30,0.3486
"Gabon","France","Males","35 to 64",5,10,15,0.0939
"Gambia, The","France","Males","35 to 64",10,60,70,0.1452
"Georgia","France","Males","35 to 64",65,1580,1645,0.0308
"Ghana","France","Males","35 to 64",0,40,40,0.1462
"Guinea","France","Males","35 to 64",170,1210,1380,0.2855
"Guinea-Bissau","France","Males","35 to 64",20,150,170,0.167
"Guyana","France","Males","35 to 64",0,80,80,0.0259
"Haiti","France","Males","35 to 64",95,2760,2855,0.1098
"India","France","Males","35 to 64",0,95,95,0.021
"Iran","France","Males","35 to 64",160,145,305,0.5197
"Iraq","France","Males","35 to 64",365,95,460,0.6085
"Israel","France","Males","35 to 64",0,5,5,0.0225
"Jamaica","France","Males","35 to 64",0,10,10,0.261
"Kazakhstan","France","Males","35 to 64",10,125,135,0.0862
"Kenya","France","Males","35 to 64",0,5,5,0.1131
"Kosovo","France","Males","35 to 64",105,3125,3230,0.0513
"Kyrgyzstan","France","Males","35 to 64",5,50,55,0.0967
"Laos","France","Males","35 to 64",0,5,5,0.4621
"Lebanon","France","Males","35 to 64",0,55,55,0.0825
"Liberia","France","Males","35 to 64",0,45,45,0.1391
"Libya","France","Males","35 to 64",5,55,60,0.2754
"Macedonia","France","Males","35 to 64",0,385,385,0.0045
"Madagascar","France","Males","35 to 64",15,160,175,0.0923
"Mali","France","Males","35 to 64",470,980,1450,0.2958
"Mauritania","France","Males","35 to 64",70,2455,2525,0.179
"Moldova","France","Males","35 to 64",0,215,215,0.0275
"Mongolia","France","Males","35 to 64",10,215,225,0.0308
"Montenegro","France","Males","35 to 64",0,135,135,0.0105
"Morocco","France","Males","35 to 64",15,145,160,0.0616
"Myanmar/Burma","France","Males","35 to 64",5,135,140,0.6064
"Nepal","France","Males","35 to 64",0,55,55,0.1158
"Niger","France","Males","35 to 64",0,30,30,0.2015
"Nigeria","France","Males","35 to 64",25,660,685,0.0993
"North Korea","France","Males","35 to 64",20,70,90,0.3857
"Pakistan","France","Males","35 to 64",70,1750,1820,0.1559
"Palestine","France","Males","35 to 64",95,50,145,0.6493
"Peru","France","Males","35 to 64",0,210,210,0.116
"Russia","France","Males","35 to 64",515,3125,3640,0.1714
"Rwanda","France","Males","35 to 64",115,115,230,0.4009
"Senegal","France","Males","35 to 64",55,225,280,0.1616
"Serbia","France","Males","35 to 64",30,960,990,0.023
"Sierra Leone","France","Males","35 to 64",10,75,85,0.2556
"Somalia","France","Males","35 to 64",120,260,380,0.6779
"South Africa","France","Males","35 to 64",0,10,10,0.0982
"Sri Lanka","France","Males","35 to 64",525,3360,3885,0.3138
"Stateless","France","Males","35 to 64",110,250,360,0.694
"Sudan","France","Males","35 to 64",105,635,740,0.4902
"Syria","France","Males","35 to 64",595,60,655,0.8732
"Tajikistan","France","Males","35 to 64",0,10,10,0.1097
"Thailand","France","Males","35 to 64",0,35,35,0.0595
"Togo","France","Males","35 to 64",15,210,225,0.1774
"Tunisia","France","Males","35 to 64",30,170,200,0.029
"Turkey","France","Males","35 to 64",160,2110,2270,0.1575
"Ukraine","France","Males","35 to 64",10,160,170,0.0737
"United States","France","Males","35 to 64",0,5,5,0.0546
"Uzbekistan","France","Males","35 to 64",0,35,35,0.1578
"Venezuela","France","Males","35 to 64",0,20,20,0.091
"Vietnam","France","Males","35 to 64",10,25,35,0.0613
"Western Sahara","France","Males","35 to 64",55,80,135,0.3455
"Yemen","France","Males","35 to 64",0,10,10,0.3982
"Zimbabwe","France","Males","35 to 64",0,5,5,0.3954
"Afghanistan","Germany","Males","35 to 64",985,1215,2200,0.5221
"Albania","Germany","Males","35 to 64",10,435,445,0.0872
"Algeria","Germany","Males","35 to 64",0,510,510,0.0498
"Angola","Germany","Males","35 to 64",0,30,30,0.1616
"Armenia","Germany","Males","35 to 64",50,370,420,0.0769
"Azerbaijan","Germany","Males","35 to 64",60,410,470,0.1805
"Bangladesh","Germany","Males","35 to 64",10,160,170,0.0922
"Belarus","Germany","Males","35 to 64",0,65,65,0.1684
"Benin","Germany","Males","35 to 64",0,30,30,0.109
"Bosnia and Herzegovina","Germany","Males","35 to 64",10,1350,1360,0.0311
"Bulgaria","Germany","Males","35 to 64",0,40,40,0
"Burkina Faso","Germany","Males","35 to 64",0,55,55,0.1592
"Côte d'Ivoire","Germany","Males","35 to 64",0,60,60,0.2457
"Cameroon","Germany","Males","35 to 64",0,135,135,0.2326
"Chad","Germany","Males","35 to 64",0,10,10,0.2766
"China (including Hong Kong)","Germany","Males","35 to 64",70,435,505,0.2465
"Colombia","Germany","Males","35 to 64",0,20,20,0.1481
"Congo","Germany","Males","35 to 64",0,15,15,0.2257
"Croatia","Germany","Males","35 to 64",0,35,35,0.0255
"Cuba","Germany","Males","35 to 64",0,25,25,0.6284
"Czech Republic","Germany","Males","35 to 64",0,10,10,0
"Dem. Rep. Congo","Germany","Males","35 to 64",20,145,165,0.2181
"Egypt","Germany","Males","35 to 64",45,125,170,0.2324
"Eritrea","Germany","Males","35 to 64",250,85,335,0.8011
"Ethiopia","Germany","Males","35 to 64",60,165,225,0.3742
"Gambia, The","Germany","Males","35 to 64",0,90,90,0.1595
"Georgia","Germany","Males","35 to 64",15,910,925,0.0343
"Ghana","Germany","Males","35 to 64",5,320,325,0.1606
"Guinea","Germany","Males","35 to 64",5,30,35,0.3087
"Guinea-Bissau","Germany","Males","35 to 64",0,10,10,0.183
"Hungary","Germany","Males","35 to 64",0,5,5,0
"India","Germany","Males","35 to 64",10,620,630,0.0234
"Iran","Germany","Males","35 to 64",1790,1330,3120,0.5473
"Iraq","Germany","Males","35 to 64",1945,1335,3280,0.6346
"Israel","Germany","Males","35 to 64",0,20,20,0.0251
"Jordan","Germany","Males","35 to 64",0,35,35,0.1743
"Kazakhstan","Germany","Males","35 to 64",0,25,25,0.0953
"Kenya","Germany","Males","35 to 64",0,50,50,0.1247
"Kosovo","Germany","Males","35 to 64",50,1355,1405,0.057
"Kyrgyzstan","Germany","Males","35 to 64",5,30,35,0.1069
"Latvia","Germany","Males","35 to 64",0,5,5,0
"Lebanon","Germany","Males","35 to 64",20,270,290,0.0913
"Liberia","Germany","Males","35 to 64",0,10,10,0.1529
"Libya","Germany","Males","35 to 64",30,50,80,0.2981
"Lithuania","Germany","Males","35 to 64",0,5,5,0
"Macedonia","Germany","Males","35 to 64",0,3275,3275,0.005
"Mali","Germany","Males","35 to 64",0,40,40,0.3195
"Mauritania","Germany","Males","35 to 64",0,20,20,0.1959
"Moldova","Germany","Males","35 to 64",0,25,25,0.0306
"Mongolia","Germany","Males","35 to 64",0,55,55,0.0343
"Montenegro","Germany","Males","35 to 64",0,145,145,0.0117
"Morocco","Germany","Males","35 to 64",5,260,265,0.0684
"Myanmar/Burma","Germany","Males","35 to 64",35,10,45,0.6326
"Nepal","Germany","Males","35 to 64",0,30,30,0.1276
"Niger","Germany","Males","35 to 64",0,20,20,0.22
"Nigeria","Germany","Males","35 to 64",25,510,535,0.1097
"North Korea","Germany","Males","35 to 64",0,5,5,0.4124
"Pakistan","Germany","Males","35 to 64",365,1135,1500,0.1711
"Poland","Germany","Males","35 to 64",0,10,10,0
"Romania","Germany","Males","35 to 64",0,20,20,0.0123
"Russia","Germany","Males","35 to 64",125,1730,1855,0.1878
"Rwanda","Germany","Males","35 to 64",5,10,15,0.4278
"Senegal","Germany","Males","35 to 64",0,50,50,0.1772
"Serbia","Germany","Males","35 to 64",25,6765,6790,0.0256
"Sierra Leone","Germany","Males","35 to 64",5,45,50,0.2773
"Slovakia","Germany","Males","35 to 64",0,10,10,0
"Somalia","Germany","Males","35 to 64",210,165,375,0.7016
"South Africa","Germany","Males","35 to 64",0,5,5,0.1085
"Sri Lanka","Germany","Males","35 to 64",205,260,465,0.3382
"Stateless","Germany","Males","35 to 64",175,95,270,0.7171
"Sudan","Germany","Males","35 to 64",10,95,105,0.5179
"Syria","Germany","Males","35 to 64",5870,670,6540,0.885
"Tajikistan","Germany","Males","35 to 64",5,20,25,0.121
"Togo","Germany","Males","35 to 64",0,95,95,0.1941
"Tunisia","Germany","Males","35 to 64",0,245,245,0.0323
"Turkey","Germany","Males","35 to 64",80,970,1050,0.1728
"Uganda","Germany","Males","35 to 64",0,10,10,0.4512
"Ukraine","Germany","Males","35 to 64",5,65,70,0.0816
"United States","Germany","Males","35 to 64",0,5,5,0.0606
"Unknown","Germany","Males","35 to 64",560,530,1090,0.3338
